200	WE31      	004	&POST               	          	MB_PO_GR
200	WE31      	005	&CANCEL             	          	MB_CANCEL
200	WI01      	001	&EDIT               	          	
200	WI01      	002	&SAVE               	CREATE    	
200	WI01      	003	&SAVE               	CHANGE    	
200	WI01      	004	&POST               	          	MB_PD
200	WF31      	007	&POST               	          	MB_MO_GI
200	WF01      	001	&EDIT               	          	
200	WF01      	002	&SAVE               	CREATE    	
200	WF01      	003	&SAVE               	CHANGE    	
200	WF01      	006	&DELETE             	          	
200	WF01      	007	&POST               	          	MB_MO_GI
200	WF01      	008	&CANCEL             	          	MB_CANCEL
200	WF02      	001	&EDIT               	          	
200	WF02      	002	&SAVE               	CREATE    	
200	WF02      	003	&SAVE               	CHANGE    	
200	WF02      	006	&DELETE             	          	
200	WF02      	008	&CANCEL             	          	MB_CANCEL
200	WF03      	008	&CANCEL             	          	MB_CANCEL
200	WA01      	001	&EDIT               	          	
200	WA01      	002	&SAVE               	CREATE    	
200	WA01      	003	&SAVE               	CHANGE    	
200	WA01      	006	&DELETE             	          	
200	WA01      	008	&CANCEL             	          	MB_CANCEL
200	WA02      	001	&EDIT               	          	
200	WA02      	002	&SAVE               	CREATE    	
200	WA02      	003	&SAVE               	CHANGE    	
200	WA02      	006	&DELETE             	          	
200	WA02      	008	&CANCEL             	          	MB_CANCEL
200	WA03      	001	&EDIT               	          	
200	WA03      	002	&SAVE               	CREATE    	
200	WA03      	003	&SAVE               	CHANGE    	
200	WA03      	006	&DELETE             	          	
200	WA03      	008	&CANCEL             	          	MB_CANCEL
200	WA04      	001	&EDIT               	          	
200	WA04      	002	&SAVE               	CREATE    	
200	WA04      	003	&SAVE               	CHANGE    	
200	WA04      	006	&DELETE             	          	
200	WA04      	008	&CANCEL             	          	MB_CANCEL
200	WF11      	001	&EDIT               	          	
200	WF11      	002	&SAVE               	CREATE    	
200	WF11      	003	&SAVE               	CHANGE    	
200	WF11      	006	&DELETE             	          	
200	WF11      	007	&POST               	          	MB_MO_GR
200	WF11      	008	&CANCEL             	          	MB_CANCEL
200	WF21      	001	&EDIT               	          	
200	WF21      	002	&SAVE               	CREATE    	
200	WF21      	003	&SAVE               	CHANGE    	
200	WF21      	006	&DELETE             	          	
200	WF21      	008	&CANCEL             	          	MB_CANCEL
200	WF22      	001	&EDIT               	          	
200	WF22      	002	&SAVE               	CREATE    	
200	WF22      	003	&SAVE               	CHANGE    	
200	WF22      	006	&DELETE             	          	
200	WF22      	008	&CANCEL             	          	MB_CANCEL
200	WF23      	001	&EDIT               	          	
200	WF23      	002	&SAVE               	CREATE    	
200	WF23      	003	&SAVE               	CHANGE    	
200	WF23      	006	&DELETE             	          	
200	WF23      	007	&POST               	          	MB_MO_GI
200	WF23      	008	&CANCEL             	          	MB_CANCEL
200	WF24      	001	&EDIT               	          	
200	WF24      	002	&SAVE               	CREATE    	
200	WF24      	003	&SAVE               	CHANGE    	
200	WF24      	006	&DELETE             	          	
200	WF24      	008	&CANCEL             	          	MB_CANCEL
200	WA11      	001	&EDIT               	          	
200	WA11      	002	&SAVE               	CREATE    	
200	WA11      	003	&SAVE               	CHANGE    	
200	WA11      	006	&DELETE             	          	
200	WA11      	008	&CANCEL             	          	MB_CANCEL
200	WA12      	001	&EDIT               	          	
200	WA12      	002	&SAVE               	CREATE    	
200	WA12      	003	&SAVE               	CHANGE    	
200	WA12      	006	&DELETE             	          	
200	WA12      	008	&CANCEL             	          	MB_CANCEL
200	WA13      	001	&EDIT               	          	
200	WA13      	002	&SAVE               	CREATE    	
200	WA13      	003	&SAVE               	CHANGE    	
200	WA13      	006	&DELETE             	          	
200	WA13      	008	&CANCEL             	          	MB_CANCEL
200	WA14      	001	&EDIT               	          	
200	WA14      	002	&SAVE               	CREATE    	
200	WA14      	003	&SAVE               	CHANGE    	
200	WA14      	006	&DELETE             	          	
200	WA14      	008	&CANCEL             	          	MB_CANCEL
200	WF31      	001	&EDIT               	          	
200	WF31      	002	&SAVE               	CREATE    	
200	WF31      	003	&SAVE               	CHANGE    	
200	WF31      	006	&DELETE             	          	
200	WF31      	008	&CANCEL             	          	MB_CANCEL
200	WF32      	001	&EDIT               	          	
200	WF32      	002	&SAVE               	CREATE    	
200	WF32      	003	&SAVE               	CHANGE    	
200	WF32      	006	&DELETE             	          	
200	WF32      	008	&CANCEL             	          	MB_CANCEL
200	WA21      	001	&EDIT               	          	
200	WA21      	002	&SAVE               	CREATE    	
200	WA21      	003	&SAVE               	CHANGE    	
200	WA21      	004	&POST               	          	MB_MOVE_GI
200	WA21      	005	&CANCEL             	          	MB_CANCEL
200	WA22      	001	&EDIT               	          	
200	WA22      	002	&SAVE               	CREATE    	
200	WA22      	003	&SAVE               	CHANGE    	
200	WA22      	004	&POST               	          	MB_MOVE_GR
200	WA22      	005	&CANCEL             	          	MB_CANCEL
200	WA32      	001	&EDIT               	          	
200	WA32      	002	&SAVE               	CREATE    	
200	WA32      	003	&SAVE               	CHANGE    	
200	WA32      	005	&CANCEL             	          	MB_CANCEL
200	WA33      	001	&EDIT               	          	
200	WA33      	002	&SAVE               	CREATE    	
200	WA33      	003	&SAVE               	CHANGE    	
200	WA33      	005	&CANCEL             	          	MB_CANCEL
200	AT        	007	&COMMIT             	          	
200	PO21      	008	&APPROVE            	          	PO_RELEASE_SURE
200	PO02      	008	&APPROVE            	          	PO_RELEASE_SURE
200	PO02      	009	&UNAPPROVE          	          	PO_RESET_RELEASE_SUR
200	PO11      	008	&APPROVE            	          	PO_RELEASE_SURE
200	PO11      	009	&UNAPPROVE          	          	PO_RESET_RELEASE_SUR
200	PO21      	009	&UNAPPROVE          	          	PO_RESET_RELEASE_SUR
200	PO31      	008	&APPROVE            	          	PO_RELEASE_SURE
200	PO31      	009	&UNAPPROVE          	          	PO_RESET_RELEASE_SUR
200	AT        	008	&UNCOMMIT           	          	
200	AT        	009	&APPROVE            	          	
200	AT        	010	&UNAPPROVE          	          	
200	WE21      	006	&DELETE             	          	
200	WE03      	006	&DELETE             	DELETE    	
200	WE02      	006	&DELETE             	DELETE    	
200	WE11      	006	&DELETE             	DELETE    	
200	WE12      	006	&DELETE             	DELETE    	
200	WE31      	006	&DELETE             	DELETE    	
200	WI01      	005	&DELETE             	DELETE    	
200	PO01      	004	&COMMIT             	          	
200	PO01      	005	&UNCOMMIT           	          	
200	PO01      	008	&APPROVE            	          	
200	PO01      	009	&UNAPPROVE          	          	
