200	MB_MOVE_GR          	009	I	GOODSMVT_ITEM                 	MOVE_STLOC                    	ITEM      	UMLGO                         	
200	MB_MOVE_GR          	010	I	GOODSMVT_ITEM                 	SALES_ORD                     	ITEM      	KDAUF                         	
200	MB_MOVE_GR          	011	I	GOODSMVT_ITEM                 	S_ORD_ITEM                    	ITEM      	KDPOS                         	
200	MB_MOVE_GR          	012	I	GOODSMVT_ITEM                 	SPEC_STOCK                    	ITEM      	SOBKZ                         	
200	MB_MOVE_GR          	013	I	GOODSMVT_ITEM                 	VAL_SALES_ORD                 	ITEM      	KDAUF                         	
200	MB_MOVE_GR          	014	I	GOODSMVT_ITEM                 	VAL_S_ORD_ITEM                	ITEM      	KDPOS                         	
200	MB_MOVE_GR          	015	I	GOODSMVT_ITEM                 	PLANT                         	ITEM      	UMWRK                         	
200	MB_MOVE_GR          	016	I	GOODSMVT_ITEM                 	STGE_LOC                      	ITEM      	UMLGO                         	
200	MB_MOVE_GR          	017	R	MATDOCUMENTYEAR               	                              	HEAD      	MJAHR                         	
200	MB_MOVE_GR          	018	R	MATERIALDOCUMENT              	                              	HEAD      	MBLNR                         	
200	MB_MOVE_GR          	019	R	RETURN                        	                              	RET       	                              	
200	MB_MOVE             	001	H	GOODSMVT_CODE                 	GM_CODE                       	          	                              	06
200	MB_MOVE             	002	H	GOODSMVT_HEADER               	PSTNG_DATE                    	HEAD      	BUDAT                         	
200	MB_MOVE             	003	H	GOODSMVT_HEADER               	REF_DOC_NO                    	HEAD      	AFONO                         	
200	MB_MOVE             	004	H	GOODSMVT_HEADER               	HEADER_TXT                    	HEAD      	REMARK1                       	
200	MB_MOVE             	005	I	GOODSMVT_ITEM                 	MATERIAL                      	ITEM      	MATNR                         	
200	MB_MOVE             	006	I	GOODSMVT_ITEM                 	PLANT                         	ITEM      	WERKS                         	
200	MB_MOVE             	007	I	GOODSMVT_ITEM                 	STGE_LOC                      	ITEM      	LGORT                         	
200	MB_MOVE             	008	I	GOODSMVT_ITEM                 	LINE_ID                       	ITEM      	AFONR                         	
200	MB_MOVE             	009	I	GOODSMVT_ITEM                 	MOVE_TYPE                     	          	                              	311
200	MB_MOVE             	010	I	GOODSMVT_ITEM                 	ENTRY_QNT                     	ITEM      	MENGE                         	
200	MB_MOVE             	011	I	GOODSMVT_ITEM                 	MOVE_STLOC                    	ITEM      	UMLGO                         	
200	MB_MOVE             	012	I	GOODSMVT_ITEM                 	SALES_ORD                     	ITEM      	KDAUF                         	
200	MB_MOVE             	013	I	GOODSMVT_ITEM                 	S_ORD_ITEM                    	ITEM      	KDPOS                         	
200	MB_MOVE             	014	I	GOODSMVT_ITEM                 	SPEC_STOCK                    	ITEM      	SOBKZ                         	
200	MB_MOVE             	015	I	GOODSMVT_ITEM                 	VAL_SALES_ORD                 	ITEM      	KDAUF                         	
200	MB_MOVE             	016	I	GOODSMVT_ITEM                 	VAL_S_ORD_ITEM                	ITEM      	KDPOS                         	
200	MB_MOVE             	017	R	MATDOCUMENTYEAR               	                              	HEAD      	MJAHR                         	
200	MB_MOVE             	018	R	MATERIALDOCUMENT              	                              	HEAD      	MBLNR                         	
200	MB_MOVE             	019	R	RETURN                        	                              	RET       	                              	
200	MB_PD               	001	H	GOODSMVT_CODE                 	GM_CODE                       	          	                              	06
200	MB_PD               	002	H	GOODSMVT_HEADER               	PSTNG_DATE                    	HEAD      	BUDAT                         	
200	MB_PD               	003	H	GOODSMVT_HEADER               	REF_DOC_NO                    	HEAD      	AFONO                         	
200	MB_PD               	004	H	GOODSMVT_HEADER               	HEADER_TXT                    	HEAD      	REMARK1                       	
200	MB_PD               	005	I	GOODSMVT_ITEM                 	MATERIAL                      	ITEM      	MATNR                         	
200	MB_PD               	006	I	GOODSMVT_ITEM                 	PLANT                         	ITEM      	WERKS                         	
