200	WA04      	000002	REF       	MAT                           	                              	 	
200	WF11      	000001	REF       	AUF                           	                              	 	
200	WF11      	000002	REF       	MAT                           	                              	 	
200	WF21      	000001	REF       	MB                            	                              	 	
200	WF21      	000002	REF       	MAT                           	                              	 	
200	WF22      	000001	REF       	MB                            	                              	 	
200	WF22      	000002	REF       	MAT                           	                              	 	
200	WF22      	000003	REF       	                              	S_MTART                       	 	X
200	WF23      	000002	REF       	MAT                           	                              	 	
200	WF23      	000003	REF       	                              	S_LGORT                       	 	
200	WF23      	000005	DIS       	MAT                           	                              	 	
200	WF23      	000006	DIS       	                              	S_LGORT                       	 	
200	WF02      	000007	REF       	                              	S_MTART                       	 	X
200	WF24      	000001	REF       	AUF                           	                              	 	
200	WF24      	000002	REF       	MAT                           	                              	 	
200	WF24      	000003	REF       	                              	S_LGORT                       	 	
200	WF24      	000004	DIS       	AUF                           	                              	 	
200	WF24      	000005	DIS       	MAT                           	                              	 	
200	WF24      	000006	DIS       	                              	S_LGORT                       	 	
200	WF24      	000007	REF       	                              	S_MTART                       	 	X
200	WF31      	000001	REF       	MB                            	                              	 	
200	WF31      	000002	REF       	MAT                           	                              	 	
200	WF32      	000001	REF       	MB                            	                              	 	
200	WF32      	000002	REF       	MAT                           	                              	 	
200	WF32      	000003	REF       	                              	S_MTART                       	 	X
200	WA11      	000001	REF       	MB                            	                              	 	
200	WA11      	000002	REF       	MAT                           	                              	 	
200	WA12      	000001	REF       	MB                            	                              	 	
200	WA12      	000002	REF       	MAT                           	                              	 	
200	WA12      	000003	REF       	                              	S_MTART                       	 	X
200	WA13      	000002	REF       	MAT                           	                              	 	
200	WA33      	000004	DIS       	MAT                           	                              	 	
200	WA13      	000005	DIS       	MAT                           	                              	 	
200	WF11      	000003	REF       	                              	S_EXORD                       	 	
200	WA14      	000002	REF       	MAT                           	                              	 	
200	WA14      	000005	DIS       	MAT                           	                              	 	
200	WA14      	000006	DIS       	                              	S_LGORT                       	 	
200	WA14      	000007	REF       	                              	S_MTART                       	 	X
200	WF11      	000004	REF       	                              	S_KDMAT                       	 	
200	PO01      	000500	REF_IN    	                              	S_LGORT                       	 	
200	PO01      	000510	REF_IN    	MAT                           	                              	 	
200	WF01      	000010	REF_IN    	                              	S_LGORT                       	 	
200	WF01      	000011	REF_IN    	MAT                           	                              	 	
200	PO01      	000505	REF_IN    	                              	S_EBELN                       	 	
200	PO01      	000520	REF_IN    	                              	S_AFONO                       	 	
